ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.ACCESS_WIFI_STATE]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.READ_PHONE_STATE]-[android.permission.INTERNET]-[android.permission.VIBRATE]-[android.permission.WRITE_EXTERNAL_STORAGE]-[com.android.vending.CHECK_LICENSE]-[com.android.launcher.permission.INSTALL_SHORTCUT]-,1,1
startActivity,com/mobclix/android/sdk/bj,com/mobclix/android/sdk/MobclixBrowserActivity,external,248,567,138
startActivity,com/mobclix/android/sdk/ci,android.intent.action.VIEW,external,250,571,151
startActivity,com/mobclix/android/sdk/cn,com/mobclix/android/sdk/MobclixBrowserActivity,external,250,571,152
startActivity,com/mobclix/android/sdk/cn,android.intent.action.VIEW,external,250,571,152
startActivity,com/mobclix/android/sdk/cn,android.intent.action.VIEW,external,250,571,152
startActivity,com/mobclix/android/sdk/cn,cachedHTML,external,250,571,152
startActivity,com/mobclix/android/sdk/cn,com/mobclix/android/sdk/MobclixBrowserActivity,external,250,571,152
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,271,590,169
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,271,590,169
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,271,590,169
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,271,590,169
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,271,590,169
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,271,590,169
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,271,590,169
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,271,590,169
startActivity,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,271,590,169
startActivityForResult,com/mobclix/android/sdk/MobclixBrowserActivity,image/*,external,271,590,169
startActivity,com/mobclix/android/sdk/MobclixFullScreenAdView,com/mobclix/android/sdk/MobclixBrowserActivity,external,285,592,171
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,android.intent.action.EDIT,external,292,592,171
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,294,592,171
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,302,592,171
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,302,592,171
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,android.intent.action.VIEW,external,302,592,171
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,android.intent.action.VIEW,external,302,592,171
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,302,592,171
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,319,592,171
startActivity,com/mobclix/android/sdk/MobclixJavascriptInterface,com/mobclix/android/sdk/MobclixBrowserActivity,external,319,592,171
startActivity,com/mobclix/android/sdk/r,android.intent.action.VIEW,external,353,592,175
startActivity,com/mobclix/android/sdk/t,android.intent.action.VIEW,external,353,592,176
