ICC Name, Source Component, Target Component, Type of Communication, Android API Count, Java API Count, User Action Count, Permissions, SSoutO, Repacked
 , , , , , , ,[android.permission.INTERNET]-[android.permission.ACCESS_NETWORK_STATE]-[android.permission.ACCESS_COARSE_LOCATION]-[android.permission.WRITE_EXTERNAL_STORAGE]-[android.permission.ACCESS_WIFI_STATE]-[android.permission.GET_ACCOUNTS]-[android.permission.USE_CREDENTIALS]-,0,1
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.VIEW,external,463,1375,378
sendBroadcast,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.MEDIA_MOUNTED,external,463,1396,378
startActivity,com/jirbo/adcolony/ADCMRAIDHandler,android.intent.action.DIAL,external,463,1396,378
startActivity,com/jirbo/adcolony/ADCVideoHUD$4,android.intent.action.VIEW,external,463,1488,394
startActivity,com/jirbo/adcolony/ADCVideoHUD,android.intent.action.VIEW,external,463,1488,394
startActivity,com/jirbo/adcolony/ADCVideoHUD,com/jirbo/adcolony/AdColonyBrowser,external,463,1489,394
startActivity,com/jirbo/adcolony/ADCVideoHUD,android.intent.action.VIEW,external,463,1489,394
startActivity,com/jirbo/adcolony/ADCVideoHUD,com/jirbo/adcolony/AdColonyBrowser,external,463,1489,394
startActivity,com/jirbo/adcolony/ADCVideoHUD,android.intent.action.VIEW,external,463,1490,396
startActivity,com/jirbo/adcolony/ADCVideoHUD,com/jirbo/adcolony/AdColonyBrowser,external,463,1490,396
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.CALL,external,463,1625,423
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.SEND,external,463,1625,423
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,463,1625,423
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,488,1625,423
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,488,1625,423
startActivity,com/millennialmedia/android/BridgeMMDevice,android.intent.action.VIEW,external,488,1625,423
startActivity,com/millennialmedia/android/BridgeMMInterstitial,android.intent.action.VIEW,external,488,1667,423
startActivity,com/millennialmedia/android/BridgeMMMedia$PickerActivity,android.media.action.IMAGE_CAPTURE,external,490,1695,423
startActivityForResult,com/millennialmedia/android/BridgeMMMedia$PickerActivity,android.media.action.IMAGE_CAPTURE,external,490,1695,423
startActivity,com/millennialmedia/android/BridgeMMMedia$PickerActivity,image/*,external,490,1695,423
startActivityForResult,com/millennialmedia/android/BridgeMMMedia$PickerActivity,image/*,external,490,1695,423
startActivity,com/millennialmedia/android/HttpRedirection$1,null,external,501,1784,427
startActivity,com/millennialmedia/android/HttpRedirection$1,null,external,501,1784,427
startActivity,com/millennialmedia/android/MMBaseActivity,null,external,503,1812,449
startActivity,com/millennialmedia/android/MMBaseActivity,null,external,503,1812,449
startActivityForResult,com/millennialmedia/android/MMBaseActivity,null,external,503,1812,449
sendBroadcast,com/millennialmedia/android/MMSDK$Event,error,external,535,1817,454
startActivity,com/millennialmedia/android/MMWebViewClient,null,external,541,1821,460
startActivity,com/millennialmedia/android/Utils$IntentUtils,android.intent.action.VIEW,external,549,1867,460
startActivity,com/millennialmedia/android/Utils$IntentUtils,android.intent.action.VIEW,external,549,1867,460
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,549,1867,460
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,549,1867,460
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,549,1867,460
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,549,1867,460
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,549,1869,460
startActivity,com/millennialmedia/android/Utils$IntentUtils,com/millennialmedia/android/MMActivity,external,549,1869,460
startActivity,com/millennialmedia/android/VideoAd,null,external,549,1873,460
startActivity,com/millennialmedia/android/VideoAd,null,external,549,1873,460
startActivity,com/millennialmedia/android/VideoAd,null,external,549,1873,460
startActivity,com/millennialmedia/android/VideoAd,null,external,549,1878,460
startActivity,com/millennialmedia/android/VideoAd,null,external,549,1878,460
startActivity,com/millennialmedia/android/VideoAd,null,external,549,1878,460
startActivity,com/millennialmedia/android/VideoAd,null,external,549,1878,460
startActivity,com/millennialmedia/android/VideoAd,videoId,external,549,1895,460
startActivity,com/millennialmedia/android/VideoAd,videoId,external,549,1895,460
startActivity,com/millennialmedia/android/VideoAd,videoId,external,549,1895,460
startActivity,com/millennialmedia/android/VideoAd,videoId,external,549,1895,460
startActivity,com/millennialmedia/android/VideoAd,videoId,external,549,1895,460
startActivity,com/millennialmedia/android/VideoAd,videoId,external,549,1895,460
startActivity,com/millennialmedia/android/VideoAd,videoId,external,549,1895,460
startActivity,com/millennialmedia/android/VideoAd,videoId,external,549,1895,460
startActivity,com/millennialmedia/android/VideoAd,videoId,external,549,1895,460
startActivity,com/millennialmedia/android/VideoPlayerActivity,null,external,549,1895,464
