AppName,BroadcastReceiverOccurenceFrequency,ActivityOccurenceFrequency:,ServicesOccurenceFrequency:,TotalComponentFrequency: ,MostCommonTargetComponent: ,MostCommonSourceComponent: ,InternalOccurence:,ExternalOccurence,Permissions,NormalPerms,DangerousPerms,SignaturePerms,RiskRatePerPerms,androidApiCount,javaApiCount,totalApiCount,apiPerComponent,userActionCount,userActionPerComponent,StringOffset,Repacked
15bfejvIvP2W.csv,7,87,28,122,18,16,2,120,11,2,5,2,0.45454545454545453,22,17,39,0.319672131147541,20,0.16393442622950818,True,True
161gdgErbiWs.csv,0,7,0,7,2,2,1,7,4,2,1,2,0.25,7,4,11,1.5714285714285714,3,0.42857142857142855,False,True
161xRp3hXipB.csv,4,68,22,94,8,6,1,94,2,2,0,2,0.0,21,17,38,0.40425531914893614,20,0.2127659574468085,False,True
16aB73TO6xVs.csv,0,6,0,6,2,3,1,6,2,2,0,2,0.0,4,4,8,1.3333333333333333,4,0.6666666666666666,False,False
16jg27ZwGkCL.csv,7,87,28,122,18,16,2,120,11,2,5,2,0.45454545454545453,22,17,39,0.319672131147541,20,0.16393442622950818,True,True
16qkRTStKtjg.csv,2,43,0,45,4,6,1,44,2,2,0,2,0.0,19,6,25,0.5555555555555556,9,0.2,False,True
16saxRVDylvB.csv,4,22,19,45,11,6,3,42,2,2,0,2,0.0,12,6,18,0.4,13,0.28888888888888886,False,True
16WglkDKwbNx.csv,1,5,6,12,4,3,1,11,25,8,13,8,0.52,6,6,12,1.0,6,0.5,True,True
1781YJhHiEYb.csv,0,37,4,41,12,10,1,40,3,2,1,2,0.3333333333333333,11,8,19,0.4634146341463415,10,0.24390243902439024,False,True
17Hl2JW0J4Xq.csv,5,102,28,135,11,7,7,128,9,2,6,2,0.6666666666666666,28,19,47,0.34814814814814815,20,0.14814814814814814,False,True
180hKZtAPPOE.csv,0,12,1,13,3,4,2,11,7,3,3,3,0.42857142857142855,6,6,12,0.9230769230769231,4,0.3076923076923077,True,True
18kMwzw310WF.csv,0,34,1,35,8,6,2,33,6,2,3,2,0.5,15,9,24,0.6857142857142857,6,0.17142857142857143,True,True
18UPKtmcmMbp.csv,1,56,6,63,10,12,1,63,4,2,2,2,0.5,19,12,31,0.49206349206349204,24,0.38095238095238093,False,True
18XSWregeqGU.csv,21,309,22,352,23,18,63,289,29,6,13,6,0.4482758620689655,62,22,84,0.23863636363636365,20,0.056818181818181816,False,False
19e2lDHYhAwf.csv,0,23,0,23,8,6,1,23,7,2,4,2,0.5714285714285714,23,15,38,1.6521739130434783,4,0.17391304347826086,True,True
19l9AqQopsvi.csv,0,21,3,24,10,4,1,24,5,2,3,2,0.6,9,7,16,0.6666666666666666,8,0.3333333333333333,False,False
1A9CjyGfKP3f.csv,0,34,1,35,8,6,2,33,6,2,3,2,0.5,15,9,24,0.6857142857142857,6,0.17142857142857143,True,False
1aaCfGzKV8lj.csv,0,0,0,0,1,1,0,0,7,3,3,3,0.42857142857142855,1,1,2,inf,1,inf,True,False
1aGQ7xRoLAOe.csv,5,72,25,102,11,6,1,102,4,2,2,2,0.5,28,10,38,0.37254901960784315,18,0.17647058823529413,False,True
1alUJI1Iwn2B.csv,2,72,10,84,2,6,1,84,2,2,0,2,0.0,28,17,45,0.5357142857142857,20,0.23809523809523808,False,False
1Av7vlFgsHR5.csv,2,59,9,70,2,6,1,69,1,1,0,1,0.0,21,17,38,0.5428571428571428,20,0.2857142857142857,False,True
1ay8WB8E8mlc.csv,0,4,5,9,3,3,1,9,10,3,5,3,0.5,9,5,14,1.5555555555555556,5,0.5555555555555556,True,False
